OBJECTID,HSISID,SCORE,DATE_,DESCRIPTION,TYPE,INSPECTOR,PERMITID,NAME,RESTAURANTOPENDATE,CITY,FACILITYTYPE
25106535,04092011426,95,2019-08-05T04:00:00Z,"*NOTICE* AS OF JANUARY 1, 2019, THE NC FOOD CODE 3-501.16 (A)(2)(b)(ii) NOW REQUIRES EQUIPMENT TO BE UPGRADED OR REPLACED TO MAINTAIN FOOD AT A TEMPERATURE OF 41 DEGREES F OR LESS.",Inspection,Maria Powell,4329,"Atrium Cafe, The",1994/01/28 05:00:00+00,CARY,Restaurant
25107640,04092440108,88,2019-08-09T04:00:00Z,Archery class supplies were stored in the Women's coaches staff bathroom # 703. Bathrooms are not clean storage locations and storage of class supplies in restrooms is an impediment to the cleaning and maintenance of these facilities. School grounds are in need of mowing due to the height of the uncut grass.,Inspection,Jason Dunn,22157,NA,NA,NA,NA
25107784,04092440115,90.5,2019-08-12T04:00:00Z,Sewer clean out for 100 building by the track is  missing a cap cover. Please replace.,Inspection,Jason Dunn,12006,NA,NA,NA,NA
25134753,04092440492,98.5,2019-08-14T04:00:00Z,Initial facility sanitation inspection.  Playground equipment is still being installed as of time of inspection.,Inspection,Jason Dunn,20789,NA,NA,NA,NA
25098350,04092440340,90,2019-08-16T04:00:00Z,Repair loose support beam on second through fifth grade playground structure. (Priority Safety Repair) Repair broken climbing rope on this same play structure.) Remove broken bench from school wide garden area. First grade playground is flooding frequently. This playground needs a drain pipe or drain way to carry away standing rain water. Repair nonfunctional dishwasher in special needs classroom kitchen. Teacher in classroom # 216 has stated that the air conditioning system in this room is not circulating and cooling properly. (Recommend a maintenance check on the air conditioning system in this room.),Inspection,Jason Dunn,2079,NA,NA,NA,NA
25127129,04092440316,90,2019-08-21T04:00:00Z,Bats have been present at the front entrance of the school and snakes have been an issue on the back of the school especially at loading docks. Professional pest control measures to exclude these animals from the premises are required.,Inspection,Jason Dunn,20635,NA,NA,NA,NA
25096352,04092440315,90,2019-09-04T04:00:00Z,Replace changing table with torn covering in special needs class bathroom #1405B. Repair broken climbing cables on play structure on west side playground. Repair broken support cables for platform on play structure on west side playground. Repair torn ground covering on pre-k playground to prevent trip hazards. Repair nonfunctional drinking fountain in classroom #1310.,Inspection,Jason Dunn,21247,NA,NA,NA,NA
25100979,04092012029,96.5,2019-09-16T04:00:00Z,"*NOTICE* AS OF JANUARY 1, 2019, THE NC FOOD CODE 3-501.16 (A)(2)(b)(ii) NOW REQUIRES EQUIPMENT TO BE UPGRADED OR REPLACED TO MAINTAIN FOOD AT A TEMPERATURE OF 41 DEGREES F OR LESS.",Inspection,Laura McNeill,2443,Wake Technical Community College Rest.,1997/04/02 04:00:00+00,RALEIGH,Restaurant
25124926,04092021683,98.5,2019-10-02T04:00:00Z,"*NOTICE* AS OF JANUARY 1, 2019, THE NC FOOD CODE 3-501.16 (A)(2)(b)(ii) NOW REQUIRES EQUIPMENT TO BE UPGRADED OR REPLACED TO MAINTAIN FOOD AT A TEMPERATURE OF 41 DEGREES F OR LESS.
VR- REHS will return Friday 10/4/2019 to verify TCS foods in grab-n-go cooler and beverage cooler cold-holding at 41F or less.
Follow-Up: 10/12/2019",Inspection,Joanne Rutkofske,17095,BRAGAW C-STORE,2011/07/26 04:00:00+00,RALEIGH,Food Stand
25106277,04092440083,91,2019-10-03T04:00:00Z,Repair deteriorated platform grate on playground structure on the park first play area. Repair torn vinyl coating on handholds on upper playground structure.,Inspection,Jason Dunn,7752,NA,NA,NA,NA
25106909,04092440135,91.5,2019-10-22T04:00:00Z,Replace missing light shield covers on ceiling lights in auditorium dressing room bathrooms #G-03 and #G-04.,Inspection,Jason Dunn,16268,NA,NA,NA,NA
25135062,04092015241,94,2019-10-24T04:00:00Z,"*NOTICE* AS OF JANUARY 1, 2019, THE NC FOOD CODE 3-501.16 (A)(2)(b)(ii) NOW REQUIRES EQUIPMENT TO BE UPGRADED OR REPLACED TO MAINTAIN FOOD AT A TEMPERATURE OF 41 DEGREES F OR LESS.",Inspection,Nicole Millard,19970,Garner Polar Ice House,2008/09/25 04:00:00+00,GARNER,Restaurant
25095745,04092015789,99.5,2019-10-29T04:00:00Z,"*NOTICE* AS OF JANUARY 1, 2019, THE NC FOOD CODE 3-501.16 (A)(2)(b)(ii) NOW REQUIRES EQUIPMENT TO BE UPGRADED OR REPLACED TO MAINTAIN FOOD AT A TEMPERATURE OF 41 DEGREES F OR LESS.",Inspection,Joanne Rutkofske,2086,SHUTTLE INN C-STORE,2011/08/16 04:00:00+00,RALEIGH,Restaurant
25107794,04092440118,91.5,2019-11-05T05:00:00Z,NA,Inspection,Jason Dunn,4771,NA,NA,NA,NA
25135004,04092018029,96.5,2019-11-07T05:00:00Z,"*NOTICE* AS OF JANUARY 1, 2019, THE NC FOOD CODE 3-501.16 (A)(2)(b)(ii) NOW REQUIRES EQUIPMENT TO BE UPGRADED OR REPLACED TO MAINTAIN FOOD AT A TEMPERATURE OF 41 DEGREES F OR LESS.",Inspection,Loc Nguyen,19557,HOME2 SUITES INSPIRED TABLE,2019/01/18 05:00:00+00,MORRISVILLE,Restaurant
25104411,04092010174,97,2019-11-15T05:00:00Z,"(CFPM Nautica Lacey Exp 2/2/24)*Notice* Effective January 1, 2019, the NC Food Code 3-501.16 (A)(2)(b)(ii) NOW requires equipment to be upgraded or replaced to maintain food at a temperature of 41 degrees F or less. If you have any questions/concerns, please feel free to call 919-868-6416 or email meghan.scott@wakegov.com
Follow-Up: 11/25/2019",Inspection,Meghan Scott,5266,Marriott Courtyard Crabtree Restaurant,1991/05/06 04:00:00+00,RALEIGH,Restaurant
25102801,04092440186,91,2019-11-18T05:00:00Z,Building Sanitation Inspection completed.,Inspection,Jason Dunn,3012,NA,NA,NA,NA
25116121,04092440241,93.5,2019-11-20T05:00:00Z,Replace missing back flow cap on mop sink faucet in custodial closet # 2300 B. Water is leaking out of the top of the faucet pipe. This mop sink faucet has low water pressure as a result.,Inspection,Jason Dunn,11434,NA,NA,NA,NA
25098408,04092030390,95,2019-11-23T05:00:00Z,Fix the pump so it can be left plugged in and easily turned on or off with a switch.,Inspection,David Adcock,21072,Rosewood Bitters (WCID #678),2019/01/23 05:00:00+00,KNIGHTDALE,Mobile Food Units
25112028,04092013446,98.5,2019-11-23T05:00:00Z,"*NOTICE* AS OF JANUARY 1, 2019, THE NC FOOD CODE 3-501.16 (A)(2)(b)(ii) NOW REQUIRES EQUIPMENT TO BE UPGRADED OR REPLACED TO MAINTAIN FOOD AT A TEMPERATURE OF 41 DEGREES F OR LESS.",Inspection,Maria Powell,4922,PNC Arena Deck (Lunch Counter),2001/11/02 04:00:00+00,RALEIGH,Restaurant
25137365,04092014839,98,2019-11-26T05:00:00Z,"*NOTICE* AS OF JANUARY 1, 2019, THE NC FOOD CODE 3-501.16 (A)(2)(b)(ii) NOW REQUIRES EQUIPMENT TO BE UPGRADED OR REPLACED TO MAINTAIN FOOD AT A TEMPERATURE OF 41 DEGREES F OR LESS.",Inspection,Brittny Thomas,20012,La Quinta Inns #944 Foodservice,2007/04/03 04:00:00+00,MORRISVILLE,Restaurant
25104967,04092440035,90,2019-12-02T05:00:00Z,Night cleaning contractors should provide notice to day staff when bathroom toilet fixtures are bagged as nonfunctional to facilitate quicker identification and repair of these toilets and urinals.,Inspection,Jason Dunn,9351,NA,NA,NA,NA
25096036,04092016266,90.5,2019-12-06T05:00:00Z,"*NOTICE* AS OF JANUARY 1, 2019, THE NC FOOD CODE 3-501.16 (A)(2)(b)(ii) NOW REQUIRES EQUIPMENT TO BE UPGRADED OR REPLACED TO MAINTAIN FOOD AT A TEMPERATURE OF 41 DEGREES F OR LESS.
VR- VERIFICATION REQUIRED. REHS will return within 10 days to verify menus are corrected.
Follow-Up: 12/16/2019",Inspection,Joanne Rutkofske,3803,SKYE TOWER,2012/09/28 04:00:00+00,RALEIGH,Restaurant
25126571,04092040244,100,2019-12-07T05:00:00Z,NA,Inspection,David Adcock,17702,PNC 306 PUSHCART (WCID #165),2010/09/21 04:00:00+00,RALEIGH,Pushcarts
25102472,04092090009,100,2019-12-16T05:00:00Z,"*NOTICE* AS OF JANUARY 1, 2019, THE NC FOOD CODE 3-501.16 (A)(2)(b)(ii) NOW REQUIRES EQUIPMENT TO BE UPGRADED OR REPLACED TO MAINTAIN FOOD AT A TEMPERATURE OF 41 DEGREES F OR LESS.",Inspection,Loc Nguyen,5414,Morrisville Meals On Wheels,1994/06/29 04:00:00+00,MORRISVILLE,Elderly Nutrition Sites (catered)
25133063,04092016765,98.5,2019-12-16T05:00:00Z,"*NOTICE* AS OF JANUARY 1, 2019, THE NC FOOD CODE 3-501.16 (A)(2)(b)(ii) NOW REQUIRES EQUIPMENT TO BE UPGRADED OR REPLACED TO MAINTAIN FOOD AT A TEMPERATURE OF 41 DEGREES F OR LESS.",Inspection,Maria Powell,18577,Q CAFE,2014/09/24 04:00:00+00,CARY,Restaurant
25138215,04092015283,98,2019-12-16T05:00:00Z,"*NOTICE* AS OF JANUARY 1, 2019, THE NC FOOD CODE 3-501.16 (A)(2)(b)(ii) NOW REQUIRES EQUIPMENT TO BE UPGRADED OR REPLACED TO MAINTAIN FOOD AT A TEMPERATURE OF 41 DEGREES F OR LESS.
Follow-Up: 12/30/2019",Inspection,Brittny Thomas,20340,CAMBRIA SUITES BARISTA BAR,2008/11/05 05:00:00+00,MORRISVILLE,Restaurant
25094945,04092040295,98,2019-12-18T05:00:00Z,NA,Inspection,David Adcock,1469,FOODLAND 4 (WCID #469),2013/07/17 04:00:00+00,RALEIGH,Pushcarts
25125303,04092040241,98,2019-12-18T05:00:00Z,NA,Inspection,David Adcock,14952,FOODLAND PUC #1 (WCID #322),2010/06/18 04:00:00+00,RALEIGH,Pushcarts
25102176,04092012963,98.5,2019-12-19T05:00:00Z,"*NOTICE* AS OF JANUARY 1, 2019, THE NC FOOD CODE 3-501.16 (A)(2)(b)(ii) NOW REQUIRES EQUIPMENT TO BE UPGRADED OR REPLACED TO MAINTAIN FOOD AT A TEMPERATURE OF 41 DEGREES F OR LESS.",Inspection,Loc Nguyen,6885,Cisco Systems Triangle Terrace Cafe,1999/07/01 04:00:00+00,RESEARCH TRIANGLE PARK,Restaurant
25096931,04092016965,98,2019-12-20T05:00:00Z,"*NOTICE* AS OF JANUARY 1, 2019, THE NC FOOD CODE 3-501.16 (A)(2)(b)(ii) NOW REQUIRES EQUIPMENT TO BE UPGRADED OR REPLACED TO MAINTAIN FOOD AT A TEMPERATURE OF 41 DEGREES F OR LESS.",Inspection,Brittny Thomas,2951,RESIDENCE INN/MARRIOTT COURTYARD FOOD SERVICE,2015/06/18 04:00:00+00,RALEIGH,Restaurant
25133239,04092016767,100,2019-12-20T05:00:00Z,"*NOTICE* AS OF JANUARY 1, 2019, THE NC FOOD CODE 3-501.16 (A)(2)(b)(ii) NOW REQUIRES EQUIPMENT TO BE UPGRADED OR REPLACED TO MAINTAIN FOOD AT A TEMPERATURE OF 41 DEGREES F OR LESS.",Inspection,Loc Nguyen,23006,LENOVO BUILDING 7 CAFE,2014/09/26 04:00:00+00,MORRISVILLE,Restaurant
25124696,04092014908,99,2020-01-06T05:00:00Z,"*NOTICE* AS OF JANUARY 1, 2019, THE NC FOOD CODE 3-501.16 (A)(2)(b)(ii) NOW REQUIRES EQUIPMENT TO BE UPGRADED OR REPLACED TO MAINTAIN FOOD AT A TEMPERATURE OF 41 DEGREES F OR LESS.",Inspection,Loc Nguyen,9335,Cisco Systems Building 10 Stillwater Cafe,2007/07/06 04:00:00+00,RTP,Restaurant
25133271,04092016768,96,2020-01-15T05:00:00Z,"*NOTICE* AS OF JANUARY 1, 2019, THE NC FOOD CODE 3-501.16 (A)(2)(b)(ii) NOW REQUIRES EQUIPMENT TO BE UPGRADED OR REPLACED TO MAINTAIN FOOD AT A TEMPERATURE OF 41 DEGREES F OR LESS.",Inspection,Loc Nguyen,16219,LENOVO BUILDING 8 CAFETERIA,2014/09/26 04:00:00+00,MORRISVILLE,Restaurant
25091680,04092016169,99.5,2020-01-22T05:00:00Z,"*NOTICE* AS OF JANUARY 1, 2019, THE NC FOOD CODE 3-501.16 (A)(2)(b)(ii) NOW REQUIRES EQUIPMENT TO BE UPGRADED OR REPLACED TO MAINTAIN FOOD AT A TEMPERATURE OF 41 DEGREES F OR LESS.",Inspection,Loc Nguyen,191,NET APP CAFE BLDG3,2012/04/20 04:00:00+00,MORRISVILLE,Restaurant
25105040,04092050004,100,2020-01-23T05:00:00Z,"*Notice* Effective January 1, 2019, the NC Food Code 3-501.16 (A)(2)(b)(ii) NOW requires equipment to be upgraded or replaced to maintain food at a temperature of 41 degrees F or less. If you have any questions/concerns, please feel free to call 919-868-6416 or email meghan.scott@wakegov.com",Inspection,Meghan Scott,21583,Friendship Christian Sch. Cafeteria,1991/09/17 04:00:00+00,RALEIGH,Private School Lunchrooms
25121549,04092017037,98,2020-01-23T05:00:00Z,"*NOTICE* AS OF JANUARY 1, 2019, THE NC FOOD CODE 3-501.16 (A)(2)(b)(ii) NOW REQUIRES EQUIPMENT TO BE UPGRADED OR REPLACED TO MAINTAIN FOOD AT A TEMPERATURE OF 41 DEGREES F OR LESS.
Follow-Up: 01/30/2020",Inspection,Loc Nguyen,8418,ORACLE CAFE,2015/10/21 04:00:00+00,MORRISVILLE,Restaurant
25135697,04092030399,98,2020-01-29T05:00:00Z,"Employees and I was able to wash our hands just no hot water and leaking.   Fix the leak with in 10 days and call me at 919-868-9244.    Not required butt it would be a good idea to add drain valves so you can fully drain the hot water heater before freezing weather, to avoid busted pipes, faucets and to avoid damage to the hot water heater.",Inspection,David Adcock,19826,Papa Murphy's (WCID #690),2019/03/05 05:00:00+00,CARY,Mobile Food Units
25099820,04092017441,99.5,2020-02-01T05:00:00Z,"*NOTICE* AS OF JANUARY 1, 2019, THE NC FOOD CODE 3-501.16 (A)(2)(b)(ii) NOW REQUIRES EQUIPMENT TO BE UPGRADED OR REPLACED TO MAINTAIN FOOD AT A TEMPERATURE OF 41 DEGREES F OR LESS.
Follow-Up: 02/11/2020",Inspection,Maria Powell,3909,PNC CLUB 204-B (PIZZA SIDE),2016/09/28 04:00:00+00,RALEIGH,Restaurant
25108245,04092013057,97.5,2020-02-01T05:00:00Z,"*NOTICE* AS OF JANUARY 1, 2019, THE NC FOOD CODE 3-501.16 (A)(2)(b)(ii) NOW REQUIRES EQUIPMENT TO BE UPGRADED OR REPLACED TO MAINTAIN FOOD AT A TEMPERATURE OF 41 DEGREES F OR LESS.",Inspection,Maria Powell,8850,PNC 301,1999/10/28 04:00:00+00,RALEIGH,Restaurant
25099398,04092440349,91.5,2020-02-12T05:00:00Z,Replace health room bed due to torn covering. Recommend installation of a security fence around the power supply fuse box stand adjacent to the modular class buildings.,Inspection,Jason Dunn,2407,NA,NA,NA,NA
25105871,04092440077,90,2020-02-14T05:00:00Z,Remove exposed metal framework for missing mirror in boys gym locker room  #715,Inspection,Jason Dunn,8415,NA,NA,NA,NA
25101182,04092012154,97.5,2020-02-18T05:00:00Z,"*NOTICE* AS OF JANUARY 1, 2019, THE NC FOOD CODE 3-501.16 (A)(2)(b)(ii) NOW REQUIRES EQUIPMENT TO BE UPGRADED OR REPLACED TO MAINTAIN FOOD AT A TEMPERATURE OF 41 DEGREES F OR LESS.
*Inspector Info: Patricia Sabby/Patricia.Sabby@wakegov.com/919-796-8053*",Inspection,Patricia Sabby,3820,Truffles Deli,1998/02/06 05:00:00+00,RALEIGH,Restaurant
25106970,04092440139,91.5,2020-02-18T05:00:00Z,Facility sanitation inspection completed.,Inspection,Jason Dunn,10656,NA,NA,NA,NA
25103952,04092090004,97.5,2020-02-19T05:00:00Z,"*NOTICE* AS OF JANUARY 1, 2019, THE NC FOOD CODE 3-501.16 (A)(2)(b)(ii) NOW REQUIRES EQUIPMENT TO BE UPGRADED OR REPLACED TO MAINTAIN FOOD AT A TEMPERATURE OF 41 DEGREES F OR LESS.",Inspection,Christy Klaus,14501,Wendell Senior Nutrition Site,1991/05/01 04:00:00+00,WENDELL,Elderly Nutrition Sites (catered)
25093681,04092025206,99,2020-02-26T05:00:00Z,"*NOTICE* AS OF JANUARY 1, 2019, THE NC FOOD CODE 3-501.16 (A)(2)(b)(ii) NOW REQUIRES EQUIPMENT TO BE UPGRADED OR REPLACED TO MAINTAIN FOOD AT A TEMPERATURE OF 41 DEGREES F OR LESS.",Inspection,Laura McNeill,961,Keim Center (Ravenscroft School),2018/08/24 04:00:00+00,RALEIGH,Food Stand
25134220,04092016536,99.5,2020-02-27T05:00:00Z,Third floor Kitchen no longer in use.,Inspection,Joanne Rutkofske,18771,Elements (at Goodnight's),2013/11/01 04:00:00+00,RALEIGH,Restaurant
25133082,04092016764,99.5,2020-03-02T05:00:00Z,NA,Inspection,Zachary Carter,11546,BON APPETIT @ CITRIX,2014/09/19 04:00:00+00,RALEIGH,Restaurant
25120463,04092300265,99.5,2020-03-03T05:00:00Z,"*NOTICE* AS OF JANUARY 1, 2019, THE NC FOOD CODE 3-501.16 (A)(2)(b)(ii) NOW REQUIRES EQUIPMENT TO BE UPGRADED OR REPLACED TO MAINTAIN FOOD AT A TEMPERATURE OF 41 DEGREES F OR LESS.",Inspection,Joanne Rutkofske,20499,NCSU PROCESSED MEAT LAB,2014/02/20 05:00:00+00,RALEIGH,Meat Market
25122445,04092021598,98.5,2020-03-03T05:00:00Z,NA,Inspection,Zachary Carter,14324,Jimmy John's #1025,2009/12/01 05:00:00+00,RALEIGH,Food Stand
25129442,04092018166,96.5,2020-03-03T05:00:00Z,"*NOTICE* AS OF JANUARY 1, 2019, THE NC FOOD CODE 3-501.16 (A)(2)(b)(ii) NOW REQUIRES EQUIPMENT TO BE UPGRADED OR REPLACED TO MAINTAIN FOOD AT A TEMPERATURE OF 41 DEGREES F OR LESS.",Inspection,Loc Nguyen,19217,UNC HEALTHCARE MOTOWN CAFE,2019/09/03 04:00:00+00,MORRISVILLE,Restaurant
25107667,04092440111,91,2020-03-04T05:00:00Z,Repair the damaged awning over the 2 and 3 grade levels playground structure.  Gutters on the front of the K-1 building require cleanout. Facility sanitation inspection completed.,Inspection,Jason Dunn,4153,NA,NA,NA,NA
25123588,04092440290,90,2020-03-06T05:00:00Z,Replace broken paper towel dispenser in classroom bathroom #1206-A.,Inspection,Jason Dunn,8057,NA,NA,NA,NA
25130845,04092016001,100,2020-03-10T04:00:00Z,NA,Inspection,Zachary Carter,11217,TASTY BEVERAGE CO,2011/09/15 04:00:00+00,RALEIGH,Restaurant
25094074,04092017054,98,2020-03-12T04:00:00Z,"*NOTICE* AS OF JANUARY 1, 2019, THE NC FOOD CODE 3-501.16 (A)(2)(b)(ii) NOW REQUIRES EQUIPMENT TO BE UPGRADED OR REPLACED TO MAINTAIN FOOD AT A TEMPERATURE OF 41 DEGREES F OR LESS.",Inspection,Greta Welch,1263,METLIFE 1 JUICE BAR,2015/10/13 04:00:00+00,CARY,Restaurant
25107604,04092440099,90,2020-03-12T04:00:00Z,Repair damaged ceiling vent fan in bathroom for classroom #202. Repair or replace changing pad that has a torn covering in special needs class bathroom #118B.,Inspection,Jason Dunn,12002,NA,NA,NA,NA
25120619,04092016887,99,2020-03-12T04:00:00Z,"*NOTICE* AS OF JANUARY 1, 2019, THE NC FOOD CODE 3-501.16 (A)(2)(b)(ii) NOW REQUIRES EQUIPMENT TO BE UPGRADED OR REPLACED TO MAINTAIN FOOD AT A TEMPERATURE OF 41 DEGREES F OR LESS.",Inspection,Greta Welch,15203,COFFEE & (METLIFE 2),2015/02/23 05:00:00+00,CARY,Restaurant
25098485,04092018043,98,2020-03-16T04:00:00Z,"*NOTICE* AS OF JANUARY 1, 2019, THE NC FOOD CODE 3-501.16 (A)(2)(b)(ii) NOW REQUIRES EQUIPMENT TO BE UPGRADED OR REPLACED TO MAINTAIN FOOD AT A TEMPERATURE OF 41 DEGREES F OR LESS.",Inspection,Maria Powell,4785,Terrace Cafe SAS Building A,2019/01/25 05:00:00+00,Cary,Restaurant
25131995,04092040286,98,2020-03-31T04:00:00Z,NA,Inspection,David Adcock,19596,LAMM'S HOT DOG CART (WCID#441),2013/02/28 05:00:00+00,GARNER,Pushcarts
25092201,04092030245,94.5,2020-04-27T04:00:00Z,The ball valves to drain the fresh water system are leaking fresh water. You may need better valves etc. to avoid draining your fresh water tang so quickly.,Inspection,David Adcock,20926,LA FARM BREAD TRUCK (WCID #442),2012/09/07 04:00:00+00,RALEIGH,Mobile Food Units
25128708,04092440504,98,2020-07-20T04:00:00Z,Initial sanitation inspection of new school facility.,Inspection,Jason Dunn,10460,NA,NA,NA,NA
25135665,04092030427,97,2020-07-24T04:00:00Z,NA,Inspection,David Adcock,20090,Lee's Kitchen #2 (WCID #712),2019/07/03 04:00:00+00,RALEIGH,Mobile Food Units
25131656,04092440509,96,2020-07-29T04:00:00Z,School facility sanitation inspection.,Inspection,Jason Dunn,16052,NA,NA,NA,NA
25101849,04092440175,91,2020-08-07T04:00:00Z,Repair nonfunctional shower in girls locker room. Replace missing ceiling light shield covers in auditorium stage room #203D. Repair nonfunctional ceiling light fixture in girls bathroom R-607-02A in modular building #M-607.,Inspection,Jason Dunn,2450,NA,NA,NA,NA
25101843,04092440174,92.5,2020-08-11T04:00:00Z,School Facility Sanitation Inspection Completed.,Inspection,Jason Dunn,3586,NA,NA,NA,NA
25104756,04092440014,91.5,2020-08-19T04:00:00Z,School Facility Sanitation Inspection Completed.,Inspection,Jason Dunn,3783,NA,NA,NA,NA
25110232,04092017699,97,2020-08-20T04:00:00Z,"Inspection led by Inspector Elizabeth Jackson. *NOTICE* AS OF JANUARY 1, 2019, THE NC FOOD CODE 3-501.16 (A)(2)(b)(ii) NOW REQUIRES EQUIPMENT TO BE UPGRADED OR REPLACED TO MAINTAIN FOOD AT A TEMPERATURE OF 41 DEGREES F OR LESS.
Please contact Plan Review with Wake County Environmental Services. Contact Rebecca Robbins (919) 868-9252 for information on equipment changes and remodeling your establishment. Ensure all proper local city permits are obtained.",Inspection,Lucy Schrum,21931,THE WAKE ZONE ESPRESSO,2017/10/30 04:00:00+00,APEX,Restaurant
25092788,04092440474,95.5,2020-08-24T04:00:00Z,Repair nonfunctional activation sensor for fountain dispenser for water bottles in hallway at room #2611.,Inspection,Jason Dunn,1095,NA,NA,NA,NA
25105444,04092440056,91,2020-08-24T04:00:00Z,Children's sleep cots were stored in classroom bathroom #511A. Children's tricycles were stored in class bathroom #507A. Bathrooms are not clean storage locations. The storage of these items in bathrooms is also an impediment to the cleaning and repair of these facilities. These items should be removed from these locations A.S.A.P.,Inspection,Jason Dunn,21986,NA,NA,NA,NA
25122553,04092440343,90.5,2020-08-26T04:00:00Z,Replace damaged oven door on stove in special needs class kitchen #1405. The oven door cover is missing and sharp exposed metal edges on the door frame could cause cutting hazards. Please repair A.S.A.P. Remove metal frame where mirror was once located on the wall in the boys hall bathroom #2402A. The exposed sharp edges of the mirror frame could possible cause cutting or puncture hazards. Please remove the exposed frame A.S.A.P.,Inspection,Jason Dunn,20535,NA,NA,NA,NA
25118986,04092440318,93,2020-09-03T04:00:00Z,School Facility Sanitation Inspection Completed.,Inspection,Jason Dunn,20470,NA,NA,NA,NA
25105567,04092440071,91.5,2020-09-08T04:00:00Z,School Facility sanitation inspection completed.,Inspection,Jason Dunn,3993,NA,NA,NA,NA
25105897,04092440079,91.5,2020-09-08T04:00:00Z,School Facility Sanitation Inspection Completed.,Inspection,Jason Dunn,8738,NA,NA,NA,NA
25120610,04092016886,99,2020-09-08T04:00:00Z,NA,Inspection,Loc Nguyen,13785,METLIFE CARY CAFE MARKETPLACE,2015/02/23 05:00:00+00,CARY,Restaurant
25102786,04092440182,94,2020-09-11T04:00:00Z,School Facility Sanitation Inspection Completed.,Inspection,Jason Dunn,4037,NA,NA,NA,NA
25112918,04092440215,92,2020-09-11T04:00:00Z,School Facility Sanitation Inspection Completed.,Inspection,Jason Dunn,14858,NA,NA,NA,NA
25134973,04092018056,100,2020-09-16T04:00:00Z,NA,Inspection,Ginger Johnson,12114,Peak of the Vine,2019/02/19 05:00:00+00,Apex,Restaurant
25136172,04092030306,98,2020-09-18T04:00:00Z,NA,Inspection,David Adcock,22602,DADDY BOB'S (WCID #559),2016/05/15 04:00:00+00,RALEIGH,Mobile Food Units
